url,company,location,title
https://www.indeed.com/rc/clk?jk=18d6d87683e25850&fccid=4550de09baf28b5b,,"San Francisco, CA","Manager, Licensing & Strategic Partnerships"
https://www.indeed.com/rc/clk?jk=a854ede1a70f585e&fccid=81e720819d6faa96,"
    Hasbro","Pawtucket, RI 02861",Digital Technology & Privacy Attorney Job
https://www.indeed.com/rc/clk?jk=a57221978217014e&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405",Senior Benefits Analyst
https://www.indeed.com/rc/clk?jk=aff4ec3d2c133e39&fccid=fe2d21eef233e94a,"
    Amazon Web Services, Inc.","Seattle, WA",Game Producer
https://www.indeed.com/rc/clk?jk=8344844998590110&fccid=734cb5a01ee60f80,"
    Microsoft","Redmond, WA 98052",Franchise Manager - Turn 10 Studios
https://www.indeed.com/rc/clk?jk=861e7e1232ccb486&fccid=e779d33455756e06,,"Irvine, CA",Senior Animator
https://www.indeed.com/rc/clk?jk=3131afc4a1e50c69&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA","Editor, Corporate Communications"
https://www.indeed.com/rc/clk?jk=0994dc9ba82ff95b&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA"," Product Manager, Heroes of the Storm Collegiate"
https://www.indeed.com/rc/clk?jk=73224182e075e055&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA",Senior 
https://www.indeed.com/rc/clk?jk=749b91f6840c9c7e&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA","Senior Software Engineer, Game Sites"
https://www.indeed.com/rc/clk?jk=751cd50db7682705&fccid=aac555fbdb7c8e71,"
    Riot Games","Los Angeles, CA",Join the Visual Design Team
https://www.indeed.com/rc/clk?jk=3655db5e159df203&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA",Network Administrator
https://www.indeed.com/rc/clk?jk=97e42a8476b518a2&fccid=4370c0f6343818a9,"
    Downtown Grand Las Vegas","Las Vegas, NV", Coordinator
https://www.indeed.com/rc/clk?jk=3461342c458dc906&fccid=aac555fbdb7c8e71,"
    Riot Games","Los Angeles, CA",Senior Quality Analyst
https://www.indeed.com/rc/clk?jk=08a1a7bdf81cb095&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Irvine, CA","Social Media Specialist, Breakaway"
https://www.indeed.com/rc/clk?jk=ffa16fc3e14a8007&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405",Associate Desktop Support Technician
https://www.indeed.com/rc/clk?jk=e0972c5102475985&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","New York, NY","Senior Manager, Editorial"
https://www.indeed.com/rc/clk?jk=e31c2ce0fdeea20e&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA"," Franchise Lead, Overwatch"
https://www.indeed.com/rc/clk?jk=bb2705c824747894&fccid=0061d624b1276d4a,"
    Nexon America","El Segundo, CA",Localization Copy Editor (Contract)
https://www.indeed.com/rc/clk?jk=f02e496a45912ccc&fccid=aac555fbdb7c8e71,"
    Riot Games","Los Angeles, CA",Marketing Performance & Analytics Lead
https://www.indeed.com/rc/clk?jk=ab89b94682fe1559&fccid=aac555fbdb7c8e71,"
    Riot Games","Los Angeles, CA",Engineering Leadership
https://www.indeed.com/rc/clk?jk=3a2cfd288850559f&fccid=0061d624b1276d4a,"
    Nexon America","El Segundo, CA",Localization Coordinator / Translator (Temp)
https://www.indeed.com/rc/clk?jk=c2c3551ccec66e08&fccid=fe2d21eef233e94a,"
    Amazon Web Services, Inc.","Irvine, CA","Head of Community, Breakaway"
https://www.indeed.com/rc/clk?jk=6632a274f96bede1&fccid=aac555fbdb7c8e71,"
    Riot Games","Los Angeles, CA", Analyst (Technical)
https://www.indeed.com/rc/clk?jk=02517219c4e23370&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Milesplit Stats Associate
https://www.indeed.com/rc/clk?jk=4dc9ba1db0721bca&fccid=b2723efaba757671,"
    Concentrus","Industry, CA",Marketing Manager
https://www.indeed.com/rc/clk?jk=ae221e9a2d2898a7&fccid=b060a47022521736,"
    Octagon","Atlanta, GA 30328","Sr. Account Executive, Gaming Client ("
https://www.indeed.com/rc/clk?jk=1c09a57176beb436&fccid=aac555fbdb7c8e71,"
    Riot Games","Los Angeles, CA",Coordinator - League Operations
https://www.indeed.com/rc/clk?jk=0952793866a2726b&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA",Senior Project Manager
https://www.indeed.com/rc/clk?jk=a9113b8c75227d16&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Senior Editor - FloTrack
https://www.indeed.com/rc/clk?jk=ca3b15ce58ec502a&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA","UX Designer, Overwatch Websites"
https://www.indeed.com/rc/clk?jk=41a0ad58f0665221&fccid=e779d33455756e06,,"Irvine, CA",Video Editor / Shooter
https://www.indeed.com/rc/clk?jk=aca8b55f9ff9d3b3&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Senior Editor - Milesplit
https://www.indeed.com/rc/clk?jk=17916b6503794b23&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA","Sponsorships Operations Manager, "
https://www.indeed.com/rc/clk?jk=935a7a539d815b94&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405","Product Manager, Marketing - Call of Duty"
https://www.indeed.com/rc/clk?jk=4b69d86db67d4df6&fccid=0061d624b1276d4a,"
    Nexon America","El Segundo, CA",Sr. Brand Manager
https://www.indeed.com/rc/clk?jk=c92772b28fbb8193&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Customer Service Representative-Part Time
https://www.indeed.com/rc/clk?jk=cb206131e191ef62&fccid=617d7f961cfcf54a,"
    Electronic Arts","Los Angeles, CA",Competitive Systems Manager
https://www.indeed.com/rc/clk?jk=749d162b7f3cc5d2&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405",Product Marketing Manager
https://www.indeed.com/rc/clk?jk=77fda3577e46bbce&fccid=fe2d21eef233e94a,"
    Amazon Web Services, Inc.","Seattle, WA","Sr. Marketing Research Manager, Amazon Lumberyard"
https://www.indeed.com/rc/clk?jk=2250506df224361c&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Senior Product Manager - Twitch Prime
https://www.indeed.com/rc/clk?jk=4b0f71d8d123950f&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Executive Producer - Amazon Game Studios
https://www.indeed.com/rc/clk?jk=3fe66439c763f538&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405",Digital Commerce Specialist
https://www.indeed.com/rc/clk?jk=f7ac704be78a4bc1&fccid=c332ce7283f695be,"
    Posh Technologies","Burlingame, CA",BI Engineer
https://www.indeed.com/rc/clk?jk=7561c4826d15976c&fccid=3832275c70f3dc7f,,"San Mateo, CA",Art Director
https://www.indeed.com/rc/clk?jk=edd97b547b5f1ac8&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Sr. Rights & Acquisitions Manager-FloRugby
https://www.indeed.com/rc/clk?jk=80a1f88458a0a88f&fccid=0bab854426fe5057,"
    TeamPeople, LLC","Santa Clara, CA", Marketing Manager
https://www.indeed.com/rc/clk?jk=0caabf545f2dc31c&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA",Senior Recruiter
https://www.indeed.com/rc/clk?jk=7eb17adcdd951184&fccid=e779d33455756e06,,"Irvine, CA","Managing Editor, Breakaway"
https://www.indeed.com/rc/clk?jk=ceb909e1d535391a&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Senior Editor - FloFootball
https://www.indeed.com/rc/clk?jk=4cf95993f9a694e1&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Gameplay Engineer
https://www.indeed.com/rc/clk?jk=7e11e25d3f40c3b1&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405",Data Engineer
https://www.indeed.com/rc/clk?jk=a3989aeffae589e1&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405","Manager, Consumer and Shopper Insights"
https://www.indeed.com/rc/clk?jk=d596f3dcf06c25dd&fccid=fe2d21eef233e94a,"
    Amazon Web Services, Inc.","Seattle, WA",Sr. Channel Marketing Manager
https://www.indeed.com/rc/clk?jk=1e2f8d6de73ba24b&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Games Networking Engineer
https://www.indeed.com/rc/clk?jk=5a126af24dc6d233&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Franchise Leader - Amazon Game Studios
https://www.indeed.com/rc/clk?jk=f467e05352102956&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA","Media Asset Manager, Broadcast"
https://www.indeed.com/rc/clk?jk=8db86331469865a7&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Senior Front End Web Engineer- TypeScript/Angular
https://www.indeed.com/rc/clk?jk=f5317cb602890578&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405","Manager, Finance & Operations"
https://www.indeed.com/rc/clk?jk=4a06467a8d9d8651&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Senior Editor - FloHockey
https://www.indeed.com/rc/clk?jk=704780c7cfc8a881&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","New York, NY","Senior Director, Marketing"
https://www.indeed.com/rc/clk?jk=f80920e2ab4e01e8&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Senior Gameplay Engineer
https://www.indeed.com/rc/clk?jk=225aa3d03898fe7e&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA",Technical Producer
https://www.indeed.com/rc/clk?jk=48d45af16cea2b60&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Sr. Rights & Acquisitions-FloElite
https://www.indeed.com/rc/clk?jk=2fd83d749d837b61&fccid=e779d33455756e06,,"Irvine, CA",Game Server Engineer
https://www.indeed.com/rc/clk?jk=6f245dc010de7e2d&fccid=aac555fbdb7c8e71,"
    Riot Games","Los Angeles, CA",Senior Visual Designer
https://www.indeed.com/rc/clk?jk=4f084c0c09be9b06&fccid=0061d624b1276d4a,"
    Nexon America","El Segundo, CA","Technical Lead, Western Games Development"
https://www.indeed.com/rc/clk?jk=352876cc7b991b4a&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA","Senior Manager, Financial Planning and Analysis, "
https://www.indeed.com/rc/clk?jk=eadba9cc9a82c0d4&fccid=617d7f961cfcf54a,"
    Electronic Arts","Orlando, FL",Sr Producer
https://www.indeed.com/rc/clk?jk=e5ad0188af1f33f6&fccid=41fd4272923dc822,,"Washington, DC 20002 ",Massage Therapist
https://www.indeed.com/rc/clk?jk=20c6e63312e994f7&fccid=683f563b5cc25b70,"
    Nielsen","New York, NY 10003 ","Director, Data Strategy and Analytics"
https://www.indeed.com/rc/clk?jk=d93bf9566b694c78&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Physics Gameplay Engineer
https://www.indeed.com/rc/clk?jk=4ce2fc004ecef3cb&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA","Director, Global Corporate Communications"
https://www.indeed.com/rc/clk?jk=9f1c5792c36a5645&fccid=86c0b4fa6c1398be,"
    Volt Workforce Solutions","Irvine, CA", Event Coordinator
https://www.indeed.com/rc/clk?jk=7cede38b01237a24&fccid=e21f6affbb4bb0b2,"
    Twitch","San Francisco, CA",Senior Software Engineer - Internationalization
https://www.indeed.com/rc/clk?jk=5ab9e162ee147065&fccid=4550de09baf28b5b,,"San Francisco, CA","Sr. Manager, Content Strategy & Business Development"
https://www.indeed.com/rc/clk?jk=bf1db5d302866e8f&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Senior Systems Engineer
https://www.indeed.com/rc/clk?jk=6d05a23ecf62e584&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Live Services Engineer
https://www.indeed.com/rc/clk?jk=d0cd3705c847e77d&fccid=e779d33455756e06,,"Irvine, CA",Product Management Lead - Breakaway
https://www.indeed.com/rc/clk?jk=fa720b368e112413&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Finance Manager - AWS Digital
https://www.indeed.com/rc/clk?jk=b22e15314c8847ce&fccid=e779d33455756e06,,"Irvine, CA",Game Build Engineer – New World
https://www.indeed.com/rc/clk?jk=6f896c291a20e5c5&fccid=cd22d01053af7669,"
    Oracle","Redwood City, CA",Technology Sales Representative III
https://www.indeed.com/rc/clk?jk=7fe5352731cb6617&fccid=4d437fc7c04a0344,,"Santa Monica, CA",Senior iOS Engineer
https://www.indeed.com/rc/clk?jk=e1c667f75ba22397&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Content Marketing Coordinator- FloGrappling
https://www.indeed.com/rc/clk?jk=f3737eb20c816cfd&fccid=2ae80f4147765b67,"
    Ketchum","New York, NY","Managing Account Supervisor, Sports"
https://www.indeed.com/rc/clk?jk=8b82d9fc88b8258a&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Content Marketing Coordinator- FloTrack
https://www.indeed.com/rc/clk?jk=929c04e5f0b48d0b&fccid=645d83ee4cbe1d25,"
    Blizzard Entertainment","Irvine, CA",Senior Reliability Engineer (Events)
https://www.indeed.com/rc/clk?jk=debc351965bda5d0&fccid=e779d33455756e06,,"Irvine, CA",Motion Graphics Designer
https://www.indeed.com/rc/clk?jk=21214234984d2d67&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Content Marketing Coordinator- FloDance
https://www.indeed.com/rc/clk?jk=fb849afda9bce3b5&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405",Senior Data Engineer
https://www.indeed.com/rc/clk?jk=599e54f72d143f2c&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Content Marketing Coordinator- FloFootball
https://www.indeed.com/rc/clk?jk=838860828244e741&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Senior Product Marketing Manager - Game Developers
https://www.indeed.com/rc/clk?jk=eaacc947575a1bbe&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Sr. Rights & Acquisitions Manager-FloRacing
https://www.indeed.com/rc/clk?jk=bb9a1356d4fa08bf&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Sr. Rights & Acquisitions Manager-FloCycling
https://www.indeed.com/rc/clk?jk=58b9a26332d5dc02&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Sr. Rights & Acquisitions Manager-FloDance
https://www.indeed.com/rc/clk?jk=6bb4f1b84625c96b&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405","Senior Analyst, Tax"
https://www.indeed.com/rc/clk?jk=b4b5ea192537d30b&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405",Principal Tools Engineer - Central Technology
https://www.indeed.com/rc/clk?jk=d8502a01f359a7b1&fccid=734cb5a01ee60f80,"
    Microsoft","Redmond, WA 98052",Senior Designer - Xbox Design Studio
https://www.indeed.com/rc/clk?jk=4ea07329673607f6&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Visual Effects Artist
https://www.indeed.com/rc/clk?jk=0c7547a350ecde56&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Senior Product Marketing Manager
https://www.indeed.com/rc/clk?jk=eec8e079234a36a2&fccid=e779d33455756e06,,"Irvine, CA",Senior Narrative Designer - Breakaway
https://www.indeed.com/rc/clk?jk=df5a5869eede1f01&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Technical Art Director
https://www.indeed.com/rc/clk?jk=74b26611f4ef1e93&fccid=5669b03906512f0a,"
    24 Seven","Santa Monica, CA 90401",Online Gaming Company Seeking Content Manager For 
https://www.indeed.com/rc/clk?jk=df0b039b9d14c9e5&fccid=e779d33455756e06,,"Irvine, CA",Sr. Tools Engineer – New World
https://www.indeed.com/rc/clk?jk=08a37cd6e3a81b22&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Software Project Manager
https://www.indeed.com/rc/clk?jk=d5da7008077e0a47&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Game Pipeline and Tools Software Development Manager
https://www.indeed.com/rc/clk?jk=6bf9f435ea4f62b7&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ","Full Stack Web Engineer, Subscription Revenue"
https://www.indeed.com/rc/clk?jk=3df8832073937c6b&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405",Senior Producer – Mobile
https://www.indeed.com/rc/clk?jk=940bbf6871ff5634&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Content Marketing Coordinator- FloCycling
https://www.indeed.com/rc/clk?jk=3b3dace821c75a29&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Sr AI Gameplay Engineer
https://www.indeed.com/rc/clk?jk=f68a04092f3ac1d5&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Lighting Artist
https://www.indeed.com/rc/clk?jk=21a0dc32797acedf&fccid=3e5db2de424b29e6,"
    FloSports","Austin, TX 78702 ",Content Marketing Coordinator – FloRodeo
https://www.indeed.com/rc/clk?jk=0fb5521e0b13e395&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA","Software Development Engineer, Twitch Prime"
https://www.indeed.com/rc/clk?jk=ad61f4c4c228bc76&fccid=e779d33455756e06,,"Irvine, CA",Technical Program Manager – New World
https://www.indeed.com/rc/clk?jk=6d0eefa77459d068&fccid=e779d33455756e06,,"Irvine, CA","Senior Server Engineer, Live Operations – New World"
https://www.indeed.com/rc/clk?jk=88922c366e8224f9&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA","Software Development Manager, Amazon Game Studios"
https://www.indeed.com/rc/clk?jk=40b481cd65236514&fccid=e779d33455756e06,,"Irvine, CA","SDK Development Engineer, Amazon Game Services"
https://www.indeed.com/rc/clk?jk=dba4ca7bc3a8bd6b&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Tools Software Development Engineer
https://www.indeed.com/rc/clk?jk=b6abc2a1f2664006&fccid=e779d33455756e06,,"Irvine, CA",Sr. Technical Artist Shading/Modeling
https://www.indeed.com/rc/clk?jk=133c2ccf2c2bb4fd&fccid=e779d33455756e06,,"Irvine, CA",Sr. Product Manager - New World
https://www.indeed.com/rc/clk?jk=ef56e19e4a4f63c7&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA",Software Development Engineer
https://www.indeed.com/rc/clk?jk=a381a5a5a2b81e55&fccid=e779d33455756e06,,"Irvine, CA","Software Development Engineer, Live Operations – New World"
https://www.indeed.com/rc/clk?jk=25ef3e820146a75a&fccid=0613c87c16dfe045,,"San Francisco, CA",Sr. Android Apps Developer
https://www.indeed.com/rc/clk?jk=0e7e620a8e624833&fccid=71147e0539a0a1b7,"
    Activision","Santa Monica, CA 90405",Associate Retail Marketing Manager
https://www.indeed.com/rc/clk?jk=1fce4dbed8a4f920&fccid=e779d33455756e06,,"San Diego, CA",Creative Director
https://www.indeed.com/rc/clk?jk=44b927e58207b8cb&fccid=e779d33455756e06,,"Irvine, CA",Software Development Engineer – New World
https://www.indeed.com/rc/clk?jk=4a380f6941de2738&fccid=9b480523593ed115,,"Los Angeles, CA",Sr. Java Developer
https://www.indeed.com/rc/clk?jk=d3714b1d08f177c5&fccid=173aeed600464fee,,"New York, NY","Director, Partnership Sales - Electronic Sports Events"
https://www.indeed.com/rc/clk?jk=7c2e038c6ba02486&fccid=fe2d21eef233e94a,"
    Amazon Corporate LLC","Seattle, WA","3D texture Artist, AGS"
